order_id,order_date,day_name,store_location,product_category,quantity,unit_price,discount_percent,sales,cost,profit,payment_method,wait_time,customer_rating,
1001,1/1/2026,Thursday,Sydney CBD,Iced Coffee,1.0,5.5,0.00,$5.50,$2.83,$2.67,Card,10.0,5.0,
1002,1/1/2026,Thursday,Sydney CBD,Coffee,1.0,4.5,0.00,$4.50,$1.79,$2.71,Card,7.0,5.0,
1003,1/1/2026,Thursday,Sydney CBD,Croissant,1.0,6.0,0.00,$6.00,$2.85,$3.15,Card,10.0,4.0,
1004,1/1/2026,Thursday,Sydney CBD,Coffee,2.0,4.5,0.00,$9.00,$3.90,$5.10,Mobile Pay,5.0,5.0,
1005,1/1/2026,Thursday,Sydney CBD,Tea,2.0,4.0,5.00,$7.60,$2.82,$4.78,Mobile Pay,5.0,3.0,
1006,1/1/2026,Thursday,Sydney CBD,Coffee,2.0,4.5,0.00,$9.00,$4.04,$4.96,Cash,5.0,5.0,
1007,1/1/2026,Thursday,Sydney CBD,Muffin,2.0,5.0,0.00,$10.00,$4.10,$5.90,Mobile Pay,9.0,4.0,
1008,1/1/2026,Thursday,Sydney CBD,Tea,1.0,4.0,10.00,$3.60,$1.79,$1.81,Card,3.0,4.0,
1009,1/1/2026,Thursday,Parramatta,Croissant,1.0,6.0,5.00,$5.70,$2.17,$3.53,Mobile Pay,7.0,5.0,
1010,1/1/2026,Thursday,Parramatta,Croissant,2.0,6.0,5.00,$11.40,$4.77,$6.63,Cash,8.0,4.0,
1011,1/1/2026,Thursday,Parramatta,Croissant,2.0,6.0,0.00,$12.00,$4.42,$7.58,Mobile Pay,8.0,3.0,
1012,1/1/2026,Thursday,Parramatta,Sandwich,1.0,9.5,0.00,$9.50,$4.62,$4.88,Mobile Pay,11.0,4.0,
1013,1/1/2026,Thursday,Parramatta,Muffin,3.0,5.0,0.00,$15.00,$8.07,$6.93,Card,6.0,5.0,
1014,1/1/2026,Thursday,Chatswood,Iced Coffee,2.0,5.5,0.00,$11.00,$5.87,$5.13,Card,10.0,5.0,
1015,1/1/2026,Thursday,Chatswood,Muffin,1.0,5.0,0.00,$5.00,$1.89,$3.11,Cash,6.0,5.0,
1016,1/1/2026,Thursday,Chatswood,Sandwich,3.0,9.5,10.00,$25.65,$9.75,$15.90,Card,9.0,4.0,
1017,1/1/2026,Thursday,Chatswood,Sandwich,1.0,9.5,0.00,$9.50,$4.44,$5.06,Cash,8.0,4.0,
1018,1/1/2026,Thursday,Chatswood,Croissant,2.0,6.0,10.00,$10.80,$5.27,$5.53,Mobile Pay,8.0,5.0,
1019,1/1/2026,Thursday,Chatswood,Sandwich,2.0,9.5,0.00,$19.00,$10.07,$8.93,Cash,9.0,5.0,
1020,1/1/2026,Thursday,Chatswood,Muffin,1.0,5.0,0.00,$5.00,$2.38,$2.62,Card,4.0,3.0,
1021,2/1/2026,Friday,Sydney CBD,Muffin,1.0,5.0,0.00,$5.00,$1.80,$3.20,Cash,9.0,4.0,
1022,2/1/2026,Friday,Sydney CBD,Croissant,1.0,6.0,10.00,$5.40,$2.55,$2.85,Cash,8.0,4.0,
1023,2/1/2026,Friday,Sydney CBD,Tea,2.0,4.0,0.00,$8.00,$2.98,$5.02,Cash,2.0,5.0,
1024,2/1/2026,Friday,Sydney CBD,Coffee,1.0,4.5,0.00,$4.50,$2.24,$2.26,Mobile Pay,6.0,5.0,
1025,2/1/2026,Friday,Sydney CBD,Iced Coffee,1.0,5.5,0.00,$5.50,$2.97,$2.53,Mobile Pay,6.0,5.0,
1026,2/1/2026,Friday,Sydney CBD,Tea,4.0,4.0,0.00,$16.00,$7.83,$8.17,Cash,8.0,4.0,
1027,2/1/2026,Friday,Sydney CBD,Iced Coffee,1.0,5.5,0.00,$5.50,$2.52,$2.98,Card,5.0,5.0,
1028,2/1/2026,Friday,Sydney CBD,Iced Coffee,2.0,5.5,5.00,$10.45,$4.13,$6.32,Cash,8.0,5.0,
1029,2/1/2026,Friday,Sydney CBD,Sandwich,1.0,9.5,0.00,$9.50,$3.86,$5.64,Cash,8.0,5.0,
1030,2/1/2026,Friday,Parramatta,Tea,1.0,4.0,0.00,$4.00,$1.78,$2.22,Cash,9.0,4.0,
1031,2/1/2026,Friday,Parramatta,Croissant,4.0,6.0,0.00,$24.00,$8.41,$15.59,Mobile Pay,10.0,5.0,
1032,2/1/2026,Friday,Parramatta,Coffee,3.0,4.5,0.00,$13.50,$6.75,$6.75,Card,5.0,5.0,
1033,2/1/2026,Friday,Parramatta,Muffin,2.0,5.0,0.00,$10.00,$5.10,$4.90,Card,10.0,4.0,
1034,2/1/2026,Friday,Parramatta,Sandwich,1.0,9.5,15.00,$8.07,$2.87,$5.20,Cash,8.0,5.0,
1035,2/1/2026,Friday,Parramatta,Sandwich,1.0,9.5,5.00,$9.03,$4.93,$4.10,Card,7.0,5.0,
1036,2/1/2026,Friday,Parramatta,Coffee,1.0,4.5,0.00,$4.50,$2.16,$2.34,Card,4.0,5.0,
1037,2/1/2026,Friday,Parramatta,Muffin,4.0,5.0,0.00,$20.00,$10.50,$9.50,Mobile Pay,9.0,5.0,
1038,2/1/2026,Friday,Parramatta,Tea,1.0,4.0,0.00,$4.00,$1.50,$2.50,Cash,6.0,5.0,
1039,2/1/2026,Friday,Chatswood,Sandwich,2.0,9.5,10.00,$17.10,$7.42,$9.68,Mobile Pay,10.0,5.0,
1040,2/1/2026,Friday,Chatswood,Croissant,1.0,6.0,0.00,$6.00,$2.32,$3.68,Card,7.0,3.0,
1041,2/1/2026,Friday,Chatswood,Iced Coffee,1.0,5.5,0.00,$5.50,$2.06,$3.44,Cash,11.0,5.0,
1042,2/1/2026,Friday,Chatswood,Coffee,3.0,4.5,0.00,$13.50,$5.24,$8.26,Card,7.0,3.0,
1043,2/1/2026,Friday,Chatswood,Croissant,1.0,6.0,0.00,$6.00,$3.17,$2.83,Mobile Pay,10.0,5.0,
1044,2/1/2026,Friday,Chatswood,Croissant,1.0,6.0,0.00,$6.00,$2.71,$3.29,Mobile Pay,9.0,5.0,
1045,2/1/2026,Friday,Chatswood,Iced Coffee,2.0,5.5,10.00,$9.90,$5.33,$4.57,Cash,8.0,5.0,
1046,2/1/2026,Friday,Chatswood,Iced Coffee,1.0,5.5,0.00,$5.50,$2.27,$3.23,Cash,11.0,5.0,
1047,2/1/2026,Friday,Chatswood,Coffee,1.0,4.5,0.00,$4.50,$1.69,$2.81,Cash,7.0,5.0,
1048,2/1/2026,Friday,Chatswood,Iced Coffee,1.0,5.5,0.00,$5.50,$2.44,$3.06,Card,3.0,5.0,
1049,3/1/2026,Saturday,Sydney CBD,Muffin,1.0,5.0,5.00,$4.75,$1.88,$2.87,Cash,6.0,4.0,
1050,3/1/2026,Saturday,Sydney CBD,Iced Coffee,1.0,5.5,0.00,$5.50,$2.33,$3.17,Cash,2.0,4.0,
1051,3/1/2026,Saturday,Sydney CBD,Muffin,2.0,5.0,0.00,$10.00,$4.53,$5.47,Card,7.0,4.0,
